alpha_3class,fake_threshold,macro_f1,accuracy
0.4,0.39000000000000007,0.7573083541154991,0.75625
0.4,0.4000000000000001,0.7573527581204883,0.75625
0.4,0.4100000000000001,0.7588016951943245,0.7578125
0.4,0.4200000000000001,0.7632191693247726,0.7625
0.4,0.4300000000000001,0.763132826748795,0.7625
0.4,0.4400000000000001,0.7615177522293349,0.7609375
0.4,0.4500000000000001,0.7614175063152159,0.7609375
0.4,0.46000000000000013,0.7613272467378236,0.7609375
0.4,0.47000000000000014,0.7672829268638416,0.7671875
0.4,0.48000000000000015,0.7657399905940244,0.765625
0.4,0.49000000000000016,0.7655506097119585,0.765625
0.4,0.5000000000000002,0.7640046332223965,0.7640625
0.4,0.5100000000000002,0.7654621595469614,0.765625
0.4,0.5200000000000002,0.7642742368428171,0.7640625
0.4,0.5300000000000002,0.7641290472031933,0.7640625
0.4,0.5400000000000003,0.7609626133600459,0.7609375
0.4,0.5500000000000003,0.763868730849863,0.7640625
0.4,0.5600000000000003,0.7649424822322018,0.765625
0.4,0.5700000000000003,0.7601771714672266,0.7609375
0.4,0.5800000000000003,0.76008065549926,0.7609375
0.4,0.5900000000000003,0.756852421750878,0.7578125
0.4,0.6000000000000003,0.7564597976582995,0.7578125
0.4,0.6100000000000003,0.7548410693469959,0.75625
0.4,0.6200000000000003,0.7591799571598341,0.7609375
0.4,0.6300000000000003,0.7574830952655752,0.759375
0.4,0.6400000000000003,0.7572841916483082,0.759375
0.4,0.6500000000000004,0.7540411834482811,0.75625
0.4,0.6600000000000004,0.7535560203234728,0.75625
0.4,0.6700000000000004,0.7519593801631417,0.7546875
0.4,0.6800000000000004,0.7534637664818509,0.75625
0.4,0.6900000000000004,0.7501877199946029,0.753125
0.4,0.7000000000000004,0.75000708272462,0.753125
0.45,0.3,0.744286472776723,0.7421875
0.45,0.31,0.744286472776723,0.7421875
0.45,0.32,0.7457638064722708,0.74375
0.45,0.33,0.7516380198698615,0.75
0.45,0.34,0.7531059036206936,0.7515625
0.45,0.35000000000000003,0.754536190598318,0.753125
0.45,0.36000000000000004,0.75900887049546,0.7578125
0.45,0.37000000000000005,0.7604131137499711,0.759375
0.45,0.38000000000000006,0.7588973021959714,0.7578125
0.45,0.39000000000000007,0.7587590517882356,0.7578125
0.45,0.4000000000000001,0.7589443086117903,0.7578125
0.45,0.4100000000000001,0.7588016951943245,0.7578125
0.45,0.4200000000000001,0.7632191693247726,0.7625
0.45,0.4300000000000001,0.7646638745385848,0.7640625
0.45,0.4400000000000001,0.7615986844344537,0.7609375
0.45,0.4500000000000001,0.7628635033870107,0.7625
